code,current_losses,current_ties,current_wins,d_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_second_round,make_semis,name,o_rating,sdr_id,ties,win_final,wins,win_league,make_round_of_16,last_updated
BAS,4.0,2.0,0.0,1.31309,-9.0,A,0.0,0.0,0.0,1.0,989,4.0,0.0,0.0,0.0,0.0,Basel,1.85505,93159,2.0,0.0,0.0,0.0,0.0,2017-05-01 20:51
PSG,0.0,3.0,3.0,0.76626,6.0,A,0.0,1.0,0.0,0.0,160,0.0,0.0,0.0,1.0,0.0,Paris Saint-Germain,2.4259,74427,3.0,0.0,3.0,0.0,1.0,2017-05-01 20:51
DIN,6.0,0.0,0.0,1.22434,-15.0,H,0.0,0.0,0.0,1.0,597,6.0,0.0,0.0,0.0,0.0,Dinamo Zagreb,1.26939,72934,0.0,0.0,0.0,0.0,0.0,2017-05-01 20:51
DOR,0.0,2.0,4.0,0.89022,12.0,F,1.0,0.0,0.0,0.0,124,0.0,0.0,1.0,1.0,0.0,Borussia Dortmund,2.48835,74050,2.0,0.0,4.0,0.0,1.0,2017-05-01 20:51
MON,1.0,2.0,3.0,0.90195,2.0,E,1.0,0.0,0.0,0.0,174,1.0,0.30836,1.0,1.0,1.0,AS Monaco,2.46251,74430,2.0,0.11258,3.0,0.11258,1.0,2017-05-01 20:51
LEV,0.0,4.0,2.0,1.17269,4.0,E,0.0,1.0,0.0,0.0,131,0.0,0.0,0.0,1.0,0.0,Bayer Leverkusen,1.75728,74045,4.0,0.0,2.0,0.0,1.0,2017-05-01 20:51
MNC,1.0,3.0,2.0,0.74312,2.0,C,0.0,1.0,0.0,0.0,382,1.0,0.0,0.0,1.0,0.0,Manchester City,2.45408,73608,3.0,0.0,2.0,0.0,1.0,2017-05-01 20:51
ATL,1.0,0.0,5.0,0.60056,5.0,D,1.0,0.0,0.0,0.0,1068,1.0,0.36666,1.0,1.0,1.0,Atletico Madrid,1.88389,74010,0.0,0.16956,5.0,0.16956,1.0,2017-05-01 20:51
LEI,1.0,1.0,4.0,1.16233,1.0,G,1.0,0.0,0.0,0.0,375,1.0,0.0,1.0,1.0,0.0,Leicester City,1.50824,73629,1.0,0.0,4.0,0.0,1.0,2017-05-01 20:51
BEN,2.0,2.0,2.0,1.04631,0.0,B,0.0,1.0,0.0,0.0,1929,2.0,0.0,0.0,1.0,0.0,Benfica,1.98603,74332,2.0,0.0,2.0,0.0,1.0,2017-05-01 20:51
